message,sentiment
" The kids there go nuts over games. I know that there are pro gamers in Korea. Anyway, fun chat!", Happy
 I'm a fan.  Did you know that baseball managers wear uniforms because they are technically able to play for their teams if needed., Happy
 I'm not sure how that worked.  The last one to do that I remember was Pete Rose back in the late 80's.  He played every day and managed at the same time., Happy
 Up until 2005 a married couple scheduled all 2430 major league baseball games played each year for 24 years!  I bet that could get confusing., Happy
 Must have paid pretty good otherwise I don't think they would have done it for that long.  A man found 3 million dollars worth of baseball cards in grandfathers attic that were hidden since the 1940's.  He hit the jackpot., Happy
 I would do exactly the same as you.  How could you not pass that up the chance to set yourself up for life? lol, Happy
 I actually enjoy watching college softball on ESPNU!, Happy
" lol I watch the women though because the pitchers really sling that ball to the plate.  On May 11, 1991 Creighton hosted Utah in the longest softball game in NCAA history lasting 31 innings!", Happy
 No.  Not enough fans to support it. lol  Jose Canseco claims to hold the record for longest softball homerun at 622 feet.  He might have it.  I've watched him hitting softballs on youtube.  He crushes them even still to this day., Happy
 Check it out on youtube.  I was shocked at how far the balls go. lol  Kickball is also called soccer-baseball in Canada! lol It's been fun chatting!, Happy
 You have a great weekend too!, Happy
 Oh for sure! One other thing I didn't know is that dogs and elephants are the only animals that respond to pointing. I want a pet elephant haha!, Happy
 I enjoyed chatting with you as well! And yes I'll go to local pet store and see if they have elephants in stock haha, Happy
 I understand that. I can also understand wanting to leave when there are gang members on every corner and your little one is just starting school, Happy
" Oh, then, thank you very much. Glad to know about this. God bless them. Well, I liked a lot Frozen. Is a fiery Princess.", Happy
" yes, it was great movie. And there's a sequel coming out. I can't wait!", Happy
" hahahaah that is so much male, lol. Nice to meet you, giving to you an excellent, have a nice day!", Happy
" I have never heard of Fanfest,", Happy
" I guess its where the hall of famers meet, At first I thought it said hall of farmers, lol", Happy
 But would you categorize them as an art form?, Happy
" I have no clue, But I love the name Rollie Fingers.", Happy
 Yeah the PlayStation 4 is cool. I'm just glad that we called him video games and not their original name which was the cathode ray tube Amusement device LOL, Happy
" Yes it's been an excellent chat! And make sure to try out a baseball video game once in awhile, they are actually pretty fun", Happy
 Agreed! Nice chatting with you!, Happy
 I did not know it either until now. It was nice chatting with you., Happy
 Nice chatting with you too!, Happy
" That is so fascinating, I love his works of fiction. I like fiction because it is so imaginative. What is your favorite genre?", Happy
" Really? That is crazy, I wonder who thought of even trying that.  Well it was good talking with you, I hope you have a good night. ", Happy
 I do. Did you know Amazon started as an online bookstore?, Happy
" I agree! What if people tried to read my mind's unpublished poetry! No thank you! I have some interesting fan fiction in my head, just like Julius Caesar wrote fan fiction of Hercules and Oedipus. But that's private!", Happy
" Thank goodness, indeed. I agree with you, though, there is still progress to be made, and I think reading diverse fiction and poetry can help people see things from other perspectives. ", Happy
 Oh absolutely! Really all art forms and most certainly the internet is going to bring humanity together on a much more even playing field. It was really nice talking with you!, Happy
" Yes, I am and love it!  That two day delivery really comes in handy!!", Happy
 It really does! Even Sunday delivery rocks especially since Amazon contracted with the USPS., Happy
" Yes it only takes about 6 years, and give great classical dressage performances!", Happy
" Really, very cool! I love to snorkel too! The coral reefs are so spectacular!!", Happy
 They do make an impact wherever they go. I found interesting that there is a building named after the first amazon.com customer, Happy
" Also Los angeles, atlanta, and Dallas. they are looking for as much as 8 million sq ft", Happy
" Don't forget about their original HQ, it was founded by Jeff Bexos on July 5 1994. And it's the largest internet retailer in the world! ", Happy
 It's probably thanks to their hard-workers! I heard they walk 7-15 miles each day as apart of their shift., Happy
 that is a lot!, Happy
 We can't deny he is full of great ideas. i did not know that IMBD is owned by amazon!!, Happy
" that is good! Hey, do you like animals?", Happy
" Di you know that they meet in the pacific ocean, in a place named ""white Shark cafe"". I love coffee but I would try not to end up there!", Happy
" We are all afraid and even terrified of sharks, but it looks like they can rescue sailors!", Happy
 Crazy! there a very small ones. there is one called small dwarf lantershark. and it has a lenght of 17 cms. well it was so nice talking to you!!, Happy
 Must have been tough being the only guy., Happy
" I know right Dumbo didnt have the fault lol, I bet he isnt a Republican either,", Happy
 I never knew that.  There hasn't been a US president who wasn't a Republican or Democrat since 1853., Happy
 That's funny!  Consistent use of the red and blue colors for Republicans and Democrats started in 2000.  Could have swore they used those colors before then., Happy
 I didn't know that.  Every US president with a beard has been a Republican.  Interesting., Happy
 That's an amazing statistic.  Wow.  Since 1900 the taller candidate has won the US presidential election 75 percent of the time., Happy
 Interesting.  Do you ever vote for the governor in your state?  I do., Happy
 It is certainly a lot. Did you know the Beatles song Come Together was actually written for Tim Leary's 1969 CA Governor campaign., Happy
 I had no idea.  Wonder why a British band at the time would write a song for an American election?  Interesting., Happy
 I didn't know that.  I've heard about when they did that though to those people., Happy
 In 1934 I see that North Dakota's governor declared martial law and seceded from the US.  I'm learning all kinds of new things today., Happy
 Looks like Texas was ahead of the times!  Thanks for chatting!, Happy
" Yes, I did.  It was the movie when I was a kid!", Happy
" Right, usually that would be embarrassment. That was cool of the audience. Ready Player One is another childlike adventure where virtual reality dominates.", Happy
 I did know that Treasure Planet was a big time flop.  I can't remember anybody that saw it saying they liked it. I read that Tom Hanks is the highest all time box office star., Happy
 You see how big Oprah is now right? She was wonderful in that movie., Happy
" Yes, I love my ROKU.", Happy
" I would definitely. You can also get Netflick, Hulu. I have Amazon Prime which has lots of channels.", Happy
 Did you know that has sold over an estimated 5 billion copies?  Wow., Happy
 Yes. Prior to 1963 it was not uncommon for students in the US to be required to read from the bible as part of their elementary eduction!, Happy
" Nice.  Thomas Jefferson created his own version of the Bible.  He used a razor to cut out the supernatural parts, such as the miracles and the resurrection.", Happy
 Yes!  Teddy Roosevelt and John Quincy Adams are the only 2 US presidents that did not use a bible when they were sworn in., Happy
" Yes.  The biblical tower of Babel was likely based on a real building, the Etemenanki in modern day Iraq.", Happy
 Yes he did!  he is regarded ad the greatest writer in the English language!, Happy
" I read the cliff notes of some of his things in college.  He coined a lot of popular phrases that we still use today like ""good riddance"" and ""wild goose chase"".", Happy
 Pocahontas and Shakespeare were alive at the same time and died only a year apart.  Interesting facts., Happy
" Yes!  lol  Shakespeare invented the names Miranda, Jessica, and Olivia.  I never knew that.", Happy
 I love going to libraries!  I'm a heavy user of them.  It's been fun chatting with you!, Happy
 Same thing to you. Good day., Happy
 You have a good day too!, Happy
 That would be so useful. I wonder if other cities do that? I know that normal library collections often included DVD's and CD's and other things besides books., Happy
" I have. I heard that he started a library in 1895 with 32,000 books in it. All from his personal collection. Can you imagine?", Happy
" I guess it makes sense that he coined so many terms since he was the world's greatest dramatist. Plus, he wrote so much. He wrote 39 plays!", Happy
 And rapper Tupac Shakur danced in the Nutcracker in high school. Sounds like he and Mr Rogers swapped paths along the way., Happy
" Maybe so he could leave the office every day and say ""I'll be back!""  ", Happy
" Wow!  We truly are a two party system, but don't try getting elected as president as a democrat with a beard.  So far all bearded presidents have been republican.", Happy
 If I'm watching a movie at home I don't care about the reviews as much but definitely want to make sure I am getting my moneys worth at the theater., Happy
" I did not, but with his athleticism and talent I am not surprised.", Happy
 Now that you mention it I do somewhat remember seeing how he did that. It was almost like a piece of metal that would lock into his shoe so he could almost lean 45 degrees. I believe he used it in the Smooth Criminal music video., Happy
 A lot of athletes have used ballet and now yoga to help with flexibility and reduce injuries!, Happy
" Yes, I hear it does help tremendously.", Happy
" I have taken yoga before but I need a few more classes before I get more flexible. It was fun chatting with you, have a great day!", Happy
" Hello, Michael jackson has a patent. on a device used to achieve the extreme lean in some of his dance moves", Happy
 I found interesting the concept with rotten tomatoes. Poor people, Happy
" Babies spontaneously dance when they hear music, and smile more when they hit the beat.  Dance is so interesting. ", Happy
 Michael bay's average rotten tomatoes film rating is 38%, Happy
 Quite surprising. Also Netflix has almost 150 movies with 100% rating on rotten tomatoes, Happy
 I also like to watch movies on Netflix. Its convenient and the premium is not too high, Happy
 true that. How about soundtracks. Any thoughts on that?, Happy
 Same here. Thought it was very interesting, Happy
 same. have a good day, Happy
 bye, Happy
" Oh yes, Mars!! I love it too!! I hope so, There is a good chance we will. ", Happy
 I think the movie tried to have an overall good message to be the best you can be in everything you do. Inspirational for many., Happy
 That's refreshing... I can see why ABC Family was mentioned. , Happy
 Ouch!  I guess we are all dancers to some degree.  Babies naturally dance when they hear music., Happy
" I remember as kids we'd have birthday parties and dance to various Disney Soundtracks. Do they still make those, I wonder?", Happy
" If you like video games, some of those movies are pretty good, too. I didn't realize Rotten Tomatoes was started by students until recently! Brilliant!, ", Happy
" Yes I have. Doesn't that guy have a Scottish accent or something? And I think he thought he was going to be the actual voice, very strange.", Happy
" No I think that they don't really pick the best movies. A lot of good movies that I like a lot or never even nominated. I do like Daniel Day-Lewis though, I'm glad that he won three times for best actor", Happy
 That is just sad. I hope we move towards behaving as we should with each other. Nice chat :), Happy
" Hi, Yes I am a star wars fan!!! Since I was a kid. What about you?", Happy
" It is amazing how star wars was created long time ago , in 1977 and with a movie made last year , the star wars fever is so alive!", Happy
" It is incredible that the first eight films were nominated for academy awards, they were able to  create wonderful productions!", Happy
" Is that right! Well, good for George Lucas because this poor vision from 20 century made him a billionaire", Happy
" I believe it was $7,500, and he just spent 2 hours and a half doing so", Happy
 She got an award for editing!! I think she made an important contribution.. good job, Happy
" Yes, she did major changes.. and is interesting George did not get the award for directing!", Happy
 You do the same!!, Happy
 He seems to really be an animal lover too. , Happy
" oh yes, I even watched the first ""Nosferatu"" movie - not sure when that was made but it's quite old...", Happy
" That one is a  classic, based on the book by Bram Stoker.  They say if you watch a horror movie you will enjoy abstract art more, maybe because they are both a horror?", Happy
" He was her and became a citizen, the law he broke was marrying a white woman because he was asian. That is crazy.", Happy
" I haven't seen anything new in a long time,  I did love Forest Gump, and You've got Mail though.  I really like Disney movies, do you know Sleeping Beauty was such a failure they considered closing down.", Happy
 We never get to see the rebuilding of the galaxy and having Leia and Han's son kill Han and be bad was a stupid thing to do., Happy
 I think they are preparing a twist of action nobody is suspecting but I think it's in a bad taste. I personally think Han Solo lives ;), Happy
 Absolutely ;) no argument here ;), Happy
" If I was a better cinematographer, I'd make my own movies, but thats not in the cards.  Its been nice visiting with you.", Happy
" Same here, thank You so much for fun conversation ! ;)", Happy
 That's true they're definitely not giving those Awards away in the United States haha. I do like that Norway donated a billion dollars to save the Amazon rainforest though that's very nice of them, Happy
 You're right. I do love that movie a lot though. It's a great winter movie. Johnny Depp seems like a nice guy. He adopted his one-eyed horse from the movie Sleepy Hollow when he heard it was going to be put down, Happy
" Same here, have a good one.", Happy
" It's a little strange, isn't it? But on a lighter note, a radio station prank called Queen Elizabeth II back in 95, pretending to be Jean Chretien who was the Prime Minister of Canada back then. Ha!", Happy
" Is that so? I wonder if she used her family to become an actress? Ha! Well in Japan, their Prime Minister sends their residents a silver cup when they turn 100 to celebrate it. Problem is, so many are turning 100 now, they're having to find ways to make cheaper cups. That's a good thing though!", Happy
" That is a good thing! What do you think about Wikileaks by the way? Apparently the government try to destroy them, but Wikileaks just leaked their plans LOL", Happy
 Yes that is disappointing. I hope that Johnny Depp goes through with making a biopic about dr. Seuss. That would actually be my first choice for a person to play him, Happy
" Yes that is impressive! He seems like a nice guy, he adopted a one-eyed horse in one of his movies because they were going to put it down, that's nice thing to do", Happy
" That's a very nice and humane thing to do! He's certainly come a long way since his rise in the 1980s with 21 Jump Street, hasn't he?", Happy
 Just do a marathon one day of watching them and you'll be set. Have you seen the Shining? The boy actor didn't even know it was a horror film until years later., Happy
" They really are, even with the big names. Tom Hanks has earned 8.5 billion in film earnings for his movies.", Happy
" Well they want a lot of Awards this year, and I think they're going to do even better next year", Happy
" Yes, they do.  On another note, did you know that the rapper drake graduated high school on october 2012 at the age of 25", Happy
 I absolutely love his music!, Happy
 I find it fascinating that they used to dry the tennis couts for the 69' US Open with helicopters. I would have loved to see that., Happy
" Did you watch the show Degrassi? He was an actor on it, I've never heard of it.", Happy
" That's funny, I bet he made their night. I was surprised to hear that he is signed with Lil' Wayne's label, instead of Dre's Death Row.", Happy
" I think One Dance is my favorite by him, it's also one of his most popular.", Happy
" Hi, do you know anything about lacrosse?", Happy
 Not a ton... I love sports though so I could get into it if I needed to. Do you like any other sports?, Happy
" Yeah, the US open. Seems like they should have been more prepared.", Happy
 Agreed. I work in recreation facilities and would not have thought of calling in a helicopter for any of my isssues., Happy
" I would have fallen asleep, all three days! Nice chatting with you!", Happy
 Hello there. Have you ever played the guitar or piano?, Happy
 I have heard that. Hendrix set his guitar on fire at Woodstock., Happy
" That just shows how badass they are, haha! The best guitarists are the ones that set stuff on fire from playing... or have a phd in astrophysics like the one from Queen.", Happy
 Yes. He is a smart guy., Happy
 Its a great musical instrument, Happy
 it should be in the rock and roll hall of fame, Happy
 A long time ago at the fillmore east I saw grand funk railroad. Talk about loud and sparks flying, Happy
" Were an American band, Im your Captain, Some kind of wonderful, are some hits they had in the 1970s", Happy
 Mark Farner i think was lead guitar, Happy
 Nice! Well thank you for opening up my ears to some new awesome music. Now i got some new stuff to listen to. It's been a pleasure chatting with you about guitars and piano's. :), Happy
 The Hypocrites put on really amusing stage productions!, Happy
" Yes, I would love to go and check Pirates, Pinafore and the Mikado", Happy
 That is a living dream. A pajama party and a live satirical operetta with talented musician clowns. that is something else, Happy
 It might. And it is nice they start with sweet dreams from Eurythmics, Happy
" They play with music and even with toys. They did release beach balls in pirates of penzance, fun", Happy
 They also swap genders in the production of Pinafore., Happy
" the price is not expensive, $30 to $74", Happy
 How much do you like jazz, Happy
" I dig it.    Jazz is a music genre that originated in the African-American communities of New Orleans, United States", Happy
" It  is fascinating, comes from ragtime and blues and it is called the Classical music of America", Happy
 It did spread around the world and gave origin to different styles around the world, Happy
 Great! I also love the dance-oriented swing big bands like the Kansas city jazz, Happy
" Cool, it is funny that rapper Tupac Shakur studied jazz, acting and poetry.. but became a rapper.", Happy
 Yes.  Clint Eastwood is a lifelong jazz fan!, Happy
 Neat!  I bet that is a pain to drag up the guitars and piano  up there., Happy
 Whoa!  His playing was literally on fire.  lol  Brian May from Queen uses coins as guitar picks., Happy
 Interesting.  The guitarist from Pink Floyd turned a houseboat into a recording studio.  Crazy stuff., Happy
 Freddie Mercury used the same piano to record Bohemian Rhapsody that Paul McCartney used to record Hey Jude., Happy
 Good talking to you!, Happy
" Yes, it did!! I have been there! You will love it! Lots of music and energy...It was developed from the blues and ragtime.", Happy
" Yes, hmmm seems like MJ's songs can cause fires! lol I think it would be pretty interesting to be on Pink Floyd's houseboat called Astroria!  It's a recording studio.", Happy
 You too! Good chat!!, Happy
 Yes. Honestly all of Queen always struck me as a very intelligent group of men. I am also a big fan. , Happy
 I did not. It's been so long that I honestly can't remember what that sounded like. I wonder where the iPhone ring tone came from because I hear that everywhere lol. , Happy
" I had not heard that but it's actually quite touching that he could find a way. Speaking of piano, Freddie mercury used the same piano to record bohemian rhapsody as paul mccartney used to record hey jude.", Happy
 Hello!  Are you a tennis fan or do you play?, Happy
 I only tried playing in college to kill time.  I stunk up the courts I was so bad.  The longest tennis match in history went on for over 11 hours and was spread over 2 days.  Crazy., Happy
 I'm not sure.  They once had to use a helicopter to dry the grass courts for the 1969 US open.  Bet that dried it fast., Happy
 Wow.  I didn't know that.  Polo shirts were originally invented by a tennis player and were later adopted by polo players.  Interesting., Happy
 lol  Good point!  They say that 5000 year old shoes perform better than modern shoes.  I question that... lol, Happy
 I'm a big googler myself.  A single google search requires more computing power than it took to send astronauts to the moon. Crazy how far technology has come since then., Happy
 When google went down for 5 minutes in 2013 it took 40 percent of the web traffic with it.  I don't remember that., Happy
 I didn't know that.  I know at one time they used hundreds of live goats to mow the lawns around their headquarters.  They really like their animals., Happy
 I agree!  Good was founded in 1998.  I could have sworn I remember using it before then., Happy
 Interesting!  I have to get going.  It was nice chatting with you!  Have a good night!, Happy
 It was good chatting with you!, Happy
 Yes. Tennis is a racket sport that can be played individually against a single opponent or doubles., Happy
" Yes, It is more comfortable to wear while playing, and it also make the popular of the shirts.", Happy
 Google was founded in 1998. It is an American multinational technology company that is specialized in internet-related services., Happy
" It is the biggest search engine and cloud computing service. It also many application like gmail, youtube, etc...", Happy
 It is very interesting thing. Technology are used to identify were are we. It affect the privacy of person., Happy
 Do you like tennis? I just love to play the sport., Happy
 i love it! Tennis is a racket sport that can be played individually against a single opponent or in teams, Happy
 Do you like Starship Troopers?  , Happy
 I have no idea.  lol  The word robotics was made up by a book writer - Isaac Asimov.  Seems like robots and space are always a big theme for science fiction books and movies. , Happy
" That's interesting!  What a job to have!  That's just like something out of the movie Star Wars, which came out in 1977 and the value of that franchise is now $65 billion dollar! ", Happy
" I wonder if someone was fired at fox because of George Lucas deal. Anyway, I've got to run.  Nice chatting with you.", Happy
 The Loch Ness monster should have legal rights to! Did you know that there are 20 quintillion individual animals on planet Earth. I have no idea how many zeros that is but I know it is a lot LOL, Happy
 We use a fan for sure. Also started using like a slow cooker or toaster oven not as hot and now can fit up to a whole chicken., Happy
 I heard some people turn their wrist upside down  to get their blood flowing to stay cool., Happy
 THere was a koi fish that lived 226 years, Happy
 Very cool. Pigeons are very pretty birds., Happy
 Oh yeah! I pick up a racket and hit the net when I can!, Happy
 Nice!  Did you know that polo shirts were invented for tennis and only later adopted by polo players?, Happy
 Nice!  I wonder if anyone ever tried to use something wacky?  A black man won the 1st US open tennis title in 1968 and no black man has won it since., Happy
" Wow! Not since 1968? You know, Serena Williams has increasingly found her voice and spoken out against gender and racial inequality. ", Happy
" Yes!  Did you know that she speaks fluent French and Italian, as does her sister Venus!", Happy
" She is truly fascinating! She does it all! She is the first tennis player, male or female, to achieve the career Golden Slam in both singles and doubles. That means she won at least one Australian Open title, French Open title, Wimbledon title, US Open title, and Olympic Gold medal.", Happy
 That's pretty incredible!  They used a helicopter to dry the grass tennis courts for the 1969 US Open., Happy
 lol  I do remember that.  Both her and her sister brought alot of good publicity to the sport., Happy
 That is incredible!  The longest match in tennis history went on for 11 hours and was spread over 3 days.  Wow!, Happy
 Wow!  That would have been fun to watch...not so fun for the players. lol, Happy
 Holy smokes I wouldn't be able to listen that fast!  lol  It's been fun chatting with you!, Happy
 I'll have to look him up!  Have a great night!, Happy
 I really like her! , Happy
 That is interesting! Did you know in Tennis years ago you were allowed to use any object as your racket? Haha, Happy
 Any object! So yes lol....must have been interesting!! As funny as if you grunt...before a shot...it is by some considered to be cheating!, Happy
" Wow, I could never last that long! Speaking of Serena Williams, I didn't know she went pro at age 13! That is amazing....and she is co owner of the Miami Dolphins...wow!", Happy
 That is true. But he does do cool stuff every now again like the time he gave his mic to a fan in a wheelchair at one of his concerts. That was nice of him!, Happy
 True. I loved how he did an SNL skit where he mocked himself interrupting award shows ironically two years before he interrupted Taylor Swift at an award show. Ha!, Happy
" Agreed. Since we're on the subject of rap, are you a fan of Tupac. I'm so glad his music is in the library of Congress of cultural significance. He was a talented musician!", Happy
 Indeed he could! I also think Eminem can as well. I'm glad he became a rapper instead of becoming a comic book artist as he wanted to do growing up. Oh what might have been!, Happy
" So true. And speaking of Eminem, it's hilarious the judge who was trying a suit against Eminem back in 2001 delivered her ruling in the form of a rap. Glad some judges still have a sense of humor. Ha! Well it was great chatting with you! Take care!", Happy
 You have a good evening as well. I'm off to watch the Rugrats movie to see if I recognize Busta Rhymes' voice in it as the Reptar wagon. Ha! Take care!, Happy
" Yep you're right about that. Back to Kanye West though, what do you think about him giving a mic to one of his fans in a wheelchair at a concert? That was nice of him", Happy
" Yeah, he's definitely an interesting guy, his ideas are not always good though, for instance he thinks that aids is a man-made disease", Happy
" Yes, mostly they are meant to make fun of other people LOL but I think a compliment battle is actually a very smart thing and would promote positivity", Happy
" Humans may have lost their body hair as recently as 240,000 years ago. Do you know ?", Happy
 Scientists recently found a human print inside a ground sloth's paw marks., Happy
" NIce! Animals and plants synthesize their own vitamin c, But humans cannot.", Happy
" Yes, But there is a sound frequency that causes fear in humans.", Happy
 Yes. Both human and animals are live together. I make our eco-system. The special branch of science to study animals is called zoology., Happy
 There are about 20 quintillion animals on planet earth., Happy
" In 1912 Scottish protection of animals act, the loch ness monster is a protected species.", Happy
 Alaska has had a cat named stubbs as its mayor since 1997., Happy
 There are cat cafes in Japan and Taiwan where people can pay hourly to play with cats and have drinks., Happy
" Yes, Its very naughty and its one of family memebers.", Happy
" I also have a cat, Ive always wondered what breed it is since there are over 70 breeds registered.", Happy
 Amazing! Its very nice to hear this., Happy
 Do you like Tennis?, Happy
 I didn't know she did that.  She speaks fluent French and Italian., Happy
" That is interesting.  Tupac Shakur's music is in the library of congress of ""cultural significance""", Happy
 I didn't know that.  In 2007 she was ranked 95th in the world., Happy
 lol true!  Big Mac sounds like it would be a good rapper name.  Eminem's true dream was to become a comic book artist before he was a rapper., Happy
" I know right?  Korean rappers invented a new type of freestyle rap called ""compliment battle""  Never heard of that before.", Happy
 I didn't know that.  In 2001 a Michigan judge delivered a ruling in the form of a rap when judging over a suit filed against Eminem.  I bet that was funny to hear in the court room., Happy
 I agree.  It's always so quiet during tennis matches., Happy
 That would have been interesting.  Polo shirts were originally invented bor tennis and later adopted for polo players., Happy
" I just admire Serena for speaking up for women's rights, even though it comes at a great personal cost to her. She truly is a warrior for women.", Happy
 I agree.  In 1998 she shaid that both she and her sister Venus could beat any man ranked 200 or worse.  , Happy
 You know it!  , Happy
 yeah had seen few videos of the easter eggs of mickey in every production, Happy
 Thats some sound advice! His Gold Digger song was really fun to listen to but thats about it., Happy
 I really enjoyed the soundtrack of Moana. Beauty and the Beast also had a pretty good one., Happy
" I have, it was an excellent movie. What about you?", Happy
" Ah, the infamous k-pop. I have listened to some of that here and there.", Happy
 It was nice chatting with you too! Thank you for you time!, Happy
 I love them! some of my favorites. how about you?, Happy
 oh probably the Episode 1 podracer game. that was a goood one. I cant believe how successful its become after George Lucas made that one movie way back in the 70s, Happy
 thats awesome. Did you know Ewan McGregors brother goes by Obi-Two?, Happy
" I played the old Super Star Wars games on the SNES, and Knights of the Old Republic on Xbox. Those games were awesome", Happy
" James Cameron decided to join the film industry after watching star wars, he drected those 2 films", Happy
" Oh, really? That is really interesting.", Happy
" I'm not sure, but I hope not, that is way too long!", Happy
" It must be very boring. If we ever do have contact, I wonder if they would tell us?", Happy
" It's very scary to think about, hopefully we don't.", Happy
 It's very interesting. It's amazing how long the earth has sustained life., Happy
" Yeah, I found that out a few years ago, there is so much ocean that hasn't been explored. Can you imagine what is in there?", Happy
